All Traffic Sources;Visits;Top Ten Referring Sites;Visits;Top Ten Search Engine Sources of Visits;Visits;Top Ten Geographic Sources by Sub Continent Region;Visits;Top Ten Browsers Used;Visits;Top Ten Operating Systems Used;Visits;;;;
Referring Sites;38.754;googleads.g.doubleclick.net;15.626;google;17.681;South America;22.616;Internet Explorer;53.080;Windows ;67.063;;;;
Search Engines;20.964;pagead2.googlesyndication.com;8.044;yahoo;1.250;Northern America;17.509;Firefox;13.142;Macintosh ;1.184;;;;
Direct Traffic;9.709;sedoparking.com;3.138;search;592;Central America;6.776;Opera;938;Linux ;1.045;;;;
Other;4;globalspec.com;693;msn;424;Western Europe;5.214;Safari;850;(not set) ;48;;;;
;;searchportal.information.com;582;aol;309;Eastern Asia;3.228;Chrome;792;iPhone ;29;;;;
;;freepatentsonline.com;389;ask;268;Northern Europe;2.721;Mozilla;478;SymbianOS ;20;;;;
;;thomasnet.com;379;live;145;Southern Asia;2.589;Netscape;47;FreeBSD ;18;;;;
;;mu.com;344;bing;122;South-Eastern Asia;1.968;Konqueror;31;iPod ;8;;;;
;;mail.google.com;337;voila;63;Southern Europe;1.538;SeaMonkey;24;Playstation 3 ;4;;;;
;;psicofxp.com;310;netscape;26;Eastern Europe;1.427;Camino;9;Playstation Portable ;3;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;